time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2019-08-16 21:55:24,37.9445389267301,-91.7606908365973,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1106.4338536474,0,0,12,5,0,1106.4338536474,0,0,0,0,0,0,234.1, 1.4, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 37. Setting new Maximum Flight Altitude to 120m (394 ft) GEO: You are in a Warning Zone (Airport). Fly with caution.
100,2019-08-16 21:55:24,37.9445390000916,-91.7606907494402,0,,,1106.4338536474,0,0.036677822696,12,5,0,1106.4338536474,0,0,0.036677822696,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
200,2019-08-16 21:55:24,37.9445389717096,-91.7606907798896,0,,,1106.4338536474,0,0.0231414705568,12,5,0,1106.4338536474,0,0,0.036677822696,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
300,2019-08-16 21:55:24,37.9445387381712,-91.7606910037562,0,,,1106.4338536474,0,0.0839402914,12,5,0,1106.4338536474,0,0,0.0839402914,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
400,2019-08-16 21:55:24,37.9445386898918,-91.7606910489906,0,,,1106.4338536474,0,0.105835961392,12,5,0,1106.4338536474,0,0,0.105835961392,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
500,2019-08-16 21:55:24,37.944538773951,-91.7606912540525,0,,,1106.4338536474,0,0.132415358568,12,5,0,1106.4338536474,0,0,0.132415358568,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
600,2019-08-16 21:55:24,37.9445387383316,-91.7606913154014,0,,,1106.4338536474,0,0.153958994428,12,5,0,1106.4338536474,0,0,0.153958994428,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.2,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
700,2019-08-16 21:55:24,37.9445386654102,-91.7606913425875,0,,,1106.4338536474,0,0.174026252288,12,5,0,1106.4338536474,0,0,0.174026252288,0,0,0,234.1, 1.5, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
800,2019-08-16 21:55:24,37.9445386271222,-91.7606914003764,0,,,1106.4338536474,0,0.195606305472,12,5,0,1106.4338536474,0,0,0.195606305472,0,0,0,234.1, 1.6, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
900,2019-08-16 21:55:25,37.9445387038662,-91.7606914339607,0,,,1106.4338536474,0,0.190138457528,12,5,0,1106.4338536474,0,0,0.195606305472,0,0,0,234.1, 1.6, -1,0,0,1024,1024,1024,1024,234.3,0,99,4.211,4.201,4.184,0,0,0,0,32,1106.4338536474,0,41,Motors_Started,
